Sector,States/All India, 03-1994, 03-1995, 03-1996, 03-1997, 03-1998, 03-1999, 03-2000, 03-2001, 03-2002, 03-2003, 03-2004, 03-2005, 11-2005, 12-2005, 01-2006, 02-2006, 03-2006, 04-2006, 05-2006, 06-2006, 07-2006, 08-2006, 03-2007, 03-2008, 03-2009, 03-2010, 03-2011, 03-2012, 11-2012, 12-2012, 01-2013, 02-2013, 03-2013, 04-2013, 06-2013, 08-2013, 10-2013, 11-2013, 12-2013, 01-2014
Fibre Textile Mills - Non Small Scale Industry,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861641.00,863804.00,862185.00,NA,863311.00,864903.00,865424.00,866962.00,859255.00,860342.00,862151.00
Fibre Textile Mills - Non Small Scale Industry,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55173.00,55523.00,55480.00,NA,55181.00,55623.00,53939.00,54870.00,51052.00,51052.00,51825.00
Fibre Textile Mills - Non Small Scale Industry,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3864.00,3864.00,3864.00,NA,3864.00,3864.00,3864.00,3864.00,3864.00,3864.00,3864.00
Fibre Textile Mills - Non Small Scale Industry,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350.00,2350.00,2350.00,NA,2235.00,2235.00,2235.00,2235.00,2235.00,2235.00,2235.00
Fibre Textile Mills - Non Small Scale Industry,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.00,1225.00,1225.00,NA,1225.00,1225.00,1225.00,1225.00,1225.00,1225.00,1225.00
Fibre Textile Mills - Non Small Scale Industry,Dadra Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4866.00,4866.00,4866.00,NA,4866.00,4866.00,4866.00,4866.00,4866.00,4889.00,4889.00
Fibre Textile Mills - Non Small Scale Industry,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.00,180.00,180.00,NA,180.00,180.00,180.00,180.00,180.00,180.00,180.00
Fibre Textile Mills - Non Small Scale Industry,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.00,72.00,72.00,NA,72.00,72.00,72.00,72.00,72.00,72.00,72.00
Fibre Textile Mills - Non Small Scale Industry,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96420.00,96219.00,95936.00,NA,95845.00,95886.00,95727.00,95797.00,95797.00,95802.00,95802.00
Fibre Textile Mills - Non Small Scale Industry,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12546.00,12534.00,12534.00,NA,12535.00,12535.00,12691.00,12691.00,12502.00,12664.00,12662.00
Fibre Textile Mills - Non Small Scale Industry,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12979.00,18777.00,18704.00,NA,18704.00,18704.00,18704.00,18704.00,18704.00,18699.00,18699.00
Fibre Textile Mills - Non Small Scale Industry,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5916.00,5916.00,5916.00,NA,5916.00,5916.00,5916.00,5916.00,5916.00,5916.00,5916.00
Fibre Textile Mills - Non Small Scale Industry,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.00,707.00,707.00,NA,707.00,707.00,707.00,707.00,707.00,707.00,707.00
Fibre Textile Mills - Non Small Scale Industry,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19983.00,19983.00,19940.00,NA,18396.00,18396.00,17602.00,17602.00,14222.00,14222.00,13900.00
Fibre Textile Mills - Non Small Scale Industry,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13456.00,13456.00,13456.00,NA,13456.00,13250.00,12811.00,12811.00,12811.00,12840.00,12840.00
Fibre Textile Mills - Non Small Scale Industry,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58431.00,58417.00,58417.00,NA,59194.00,59573.00,62110.00,62843.00,62843.00,62746.00,62760.00
